location_long,location
Alle (Deutschland),DE
Baden-Wuerttemberg,DE-BW
Bayern,DE-BY
Brandenburg / Berlin,DE-BB-BE
Hessen,DE-HE
Mecklenburg-Vorpommern,DE-MV
Niedersachsen / Bremen,DE-NI-HB
Nordrhein-Westfalen,DE-NW
Rheinland-Pfalz,DE-RP-SL
Sachsen,DE-SN
Sachsen-Anhalt,DE-ST
Schleswig-Holstein / Hamburg,DE-SH-HH
Thueringen,DE-TH
