filename,first_commit,latest_commit,forecast_date,source,indicator,model,diff,retrospective
2024-11-21-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2024-11-21,agi,are,KIT-TSMixer,158 days,True
2024-11-28-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2024-11-28,agi,are,KIT-TSMixer,151 days,True
2024-12-05-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2024-12-05,agi,are,KIT-TSMixer,144 days,True
2024-12-12-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2024-12-12,agi,are,KIT-TSMixer,137 days,True
2024-12-19-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2024-12-19,agi,are,KIT-TSMixer,130 days,True
2025-01-09-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-01-09,agi,are,KIT-TSMixer,109 days,True
2025-01-16-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-01-16,agi,are,KIT-TSMixer,102 days,True
2025-01-23-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-01-23,agi,are,KIT-TSMixer,95 days,True
2025-01-30-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-01-30,agi,are,KIT-TSMixer,88 days,True
2025-02-06-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-02-06,agi,are,KIT-TSMixer,81 days,True
2025-02-13-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-02-13,agi,are,KIT-TSMixer,74 days,True
2025-02-20-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-02-20,agi,are,KIT-TSMixer,67 days,True
2025-02-27-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-02-27,agi,are,KIT-TSMixer,60 days,True
2025-03-06-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-03-06,agi,are,KIT-TSMixer,53 days,True
2025-03-13-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-03-13,agi,are,KIT-TSMixer,46 days,True
2025-03-20-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-03-20,agi,are,KIT-TSMixer,39 days,True
2025-03-27-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,2025-03-27,agi,are,KIT-TSMixer,32 days,True
2024-07-04-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-07-04,agi,are,KIT-hhh4,341 days,True
2024-07-11-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-07-11,agi,are,KIT-hhh4,334 days,True
2024-07-18-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-07-18,agi,are,KIT-hhh4,327 days,True
2024-07-25-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-07-25,agi,are,KIT-hhh4,320 days,True
2024-08-01-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-08-01,agi,are,KIT-hhh4,313 days,True
