location,age_group,year,week,date,value_-1w,value_0w,value_1w,value_2w,value_3w,value_4w
DE,00+,2024,41,2024-10-13,8709,7591.0,63.0,,,
DE,00+,2024,42,2024-10-20,8955,7374.0,,,,
DE,00+,2024,43,2024-10-27,9600,,,,,
DE,00-04,2024,41,2024-10-13,236,202.0,2.0,,,
DE,00-04,2024,42,2024-10-20,236,243.0,,,,
DE,00-04,2024,43,2024-10-27,317,,,,,
DE,05-14,2024,41,2024-10-13,93,83.0,0.0,,,
DE,05-14,2024,42,2024-10-20,80,98.0,,,,
DE,05-14,2024,43,2024-10-27,135,,,,,
DE,15-34,2024,41,2024-10-13,781,713.0,7.0,,,
DE,15-34,2024,42,2024-10-20,829,682.0,,,,
DE,15-34,2024,43,2024-10-27,773,,,,,
DE,35-59,2024,41,2024-10-13,1769,1666.0,17.0,,,
DE,35-59,2024,42,2024-10-20,1827,1523.0,,,,
DE,35-59,2024,43,2024-10-27,1940,,,,,
DE,60-79,2024,41,2024-10-13,2620,2284.0,22.0,,,
DE,60-79,2024,42,2024-10-20,2792,2297.0,,,,
DE,60-79,2024,43,2024-10-27,3045,,,,,
DE,80+,2024,41,2024-10-13,3210,2643.0,15.0,,,
DE,80+,2024,42,2024-10-20,3191,2531.0,,,,
DE,80+,2024,43,2024-10-27,3390,,,,,
DE-BB-BE,00+,2024,41,2024-10-13,613,481.0,2.0,,,
DE-BB-BE,00+,2024,42,2024-10-20,773,567.0,,,,
DE-BB-BE,00+,2024,43,2024-10-27,843,,,,,
DE-BW,00+,2024,41,2024-10-13,1148,898.0,6.0,,,
DE-BW,00+,2024,42,2024-10-20,1172,868.0,,,,
DE-BW,00+,2024,43,2024-10-27,988,,,,,
DE-BY,00+,2024,41,2024-10-13,1883,1824.0,11.0,,,
DE-BY,00+,2024,42,2024-10-20,2192,1446.0,,,,
DE-BY,00+,2024,43,2024-10-27,1843,,,,,
DE-HE,00+,2024,41,2024-10-13,662,394.0,2.0,,,
DE-HE,00+,2024,42,2024-10-20,621,402.0,,,,
DE-HE,00+,2024,43,2024-10-27,726,,,,,
DE-MV,00+,2024,41,2024-10-13,219,316.0,1.0,,,
DE-MV,00+,2024,42,2024-10-20,181,385.0,,,,
DE-MV,00+,2024,43,2024-10-27,274,,,,,
DE-NI-HB,00+,2024,41,2024-10-13,508,571.0,13.0,,,
DE-NI-HB,00+,2024,42,2024-10-20,552,613.0,,,,
DE-NI-HB,00+,2024,43,2024-10-27,614,,,,,
DE-NW,00+,2024,41,2024-10-13,1303,1274.0,14.0,,,
DE-NW,00+,2024,42,2024-10-20,1078,1101.0,,,,
DE-NW,00+,2024,43,2024-10-27,1348,,,,,
DE-RP-SL,00+,2024,41,2024-10-13,539,458.0,0.0,,,
DE-RP-SL,00+,2024,42,2024-10-20,609,352.0,,,,
DE-RP-SL,00+,2024,43,2024-10-27,573,,,,,
DE-SH-HH,00+,2024,41,2024-10-13,597,358.0,4.0,,,
DE-SH-HH,00+,2024,42,2024-10-20,551,423.0,,,,
DE-SH-HH,00+,2024,43,2024-10-27,574,,,,,
DE-SN,00+,2024,41,2024-10-13,515,552.0,14.0,,,
DE-SN,00+,2024,42,2024-10-20,642,607.0,,,,
DE-SN,00+,2024,43,2024-10-27,837,,,,,
DE-ST,00+,2024,41,2024-10-13,378,252.0,0.0,,,
DE-ST,00+,2024,42,2024-10-20,295,430.0,,,,
DE-ST,00+,2024,43,2024-10-27,622,,,,,
DE-TH,00+,2024,41,2024-10-13,362,231.0,2.0,,,
DE-TH,00+,2024,42,2024-10-20,332,210.0,,,,
DE-TH,00+,2024,43,2024-10-27,385,,,,,
