location,age_group,year,week,date,value
DE-NI-HB,00+,2023,36,2023-09-10,1914
DE-NI-HB,00+,2023,37,2023-09-17,1945
DE-NI-HB,00+,2023,38,2023-09-24,2049
DE-NI-HB,00+,2023,39,2023-10-01,2182
DE-NI-HB,00+,2023,40,2023-10-08,1917
DE-NI-HB,00+,2023,41,2023-10-15,2431
DE-NI-HB,00+,2023,42,2023-10-22,2351
DE-NI-HB,00+,2023,43,2023-10-29,2376
DE-NI-HB,00+,2023,44,2023-11-05,2586
DE-NI-HB,00+,2023,45,2023-11-12,3227
DE-NI-HB,00+,2023,46,2023-11-19,3632
DE-NW,00+,2023,36,2023-09-10,1269
DE-NW,00+,2023,37,2023-09-17,1268
DE-NW,00+,2023,38,2023-09-24,1232
DE-NW,00+,2023,39,2023-10-01,1348
DE-NW,00+,2023,40,2023-10-08,957
DE-NW,00+,2023,41,2023-10-15,1297
DE-NW,00+,2023,42,2023-10-22,1638
DE-NW,00+,2023,43,2023-10-29,1827
DE-NW,00+,2023,44,2023-11-05,1724
DE-NW,00+,2023,45,2023-11-12,2107
DE-NW,00+,2023,46,2023-11-19,2170
DE-RP-SL,00+,2023,36,2023-09-10,1287
DE-RP-SL,00+,2023,37,2023-09-17,1757
DE-RP-SL,00+,2023,38,2023-09-24,2219
DE-RP-SL,00+,2023,39,2023-10-01,2559
DE-RP-SL,00+,2023,40,2023-10-08,2531
DE-RP-SL,00+,2023,41,2023-10-15,3045
DE-RP-SL,00+,2023,42,2023-10-22,2874
DE-RP-SL,00+,2023,43,2023-10-29,2419
DE-RP-SL,00+,2023,44,2023-11-05,2583
DE-RP-SL,00+,2023,45,2023-11-12,4025
DE-RP-SL,00+,2023,46,2023-11-19,3672
DE-SH-HH,00+,2023,36,2023-09-10,1726
DE-SH-HH,00+,2023,37,2023-09-17,1953
DE-SH-HH,00+,2023,38,2023-09-24,1862
DE-SH-HH,00+,2023,39,2023-10-01,2200
DE-SH-HH,00+,2023,40,2023-10-08,1803
DE-SH-HH,00+,2023,41,2023-10-15,2284
DE-SH-HH,00+,2023,42,2023-10-22,2323
DE-SH-HH,00+,2023,43,2023-10-29,2586
DE-SH-HH,00+,2023,44,2023-11-05,1833
DE-SH-HH,00+,2023,45,2023-11-12,2072
DE-SH-HH,00+,2023,46,2023-11-19,4008
DE-SN,00+,2023,36,2023-09-10,913
DE-SN,00+,2023,37,2023-09-17,1088
DE-SN,00+,2023,38,2023-09-24,1144
DE-SN,00+,2023,39,2023-10-01,1206
DE-SN,00+,2023,40,2023-10-08,616
DE-SN,00+,2023,41,2023-10-15,960
DE-SN,00+,2023,42,2023-10-22,1230
DE-SN,00+,2023,43,2023-10-29,1461
DE-SN,00+,2023,44,2023-11-05,1108
DE-SN,00+,2023,45,2023-11-12,1723
DE-SN,00+,2023,46,2023-11-19,1904
DE-ST,00+,2023,36,2023-09-10,1013
DE-ST,00+,2023,37,2023-09-17,1102
DE-ST,00+,2023,38,2023-09-24,1010
DE-ST,00+,2023,39,2023-10-01,1499
DE-ST,00+,2023,40,2023-10-08,1041
DE-ST,00+,2023,41,2023-10-15,1500
DE-ST,00+,2023,42,2023-10-22,1107
DE-ST,00+,2023,43,2023-10-29,1106
DE-ST,00+,2023,44,2023-11-05,1344
DE-ST,00+,2023,45,2023-11-12,1573
DE-ST,00+,2023,46,2023-11-19,1736
DE-TH,00+,2023,36,2023-09-10,1296
DE-TH,00+,2023,37,2023-09-17,1324
DE-TH,00+,2023,38,2023-09-24,818
DE-TH,00+,2023,39,2023-10-01,1254
DE-TH,00+,2023,40,2023-10-08,884
DE-TH,00+,2023,41,2023-10-15,1374
DE-TH,00+,2023,42,2023-10-22,1710
DE-TH,00+,2023,43,2023-10-29,1729
DE-TH,00+,2023,44,2023-11-05,1569
DE-TH,00+,2023,45,2023-11-12,2293
DE-TH,00+,2023,46,2023-11-19,2006
