"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-KEW","inc hosp","2022-12-11","2022-11-13","DE","00+","seasonal_influenza",3654,3654,3654,3654,3654,3654,FALSE
"9","KIT-KEW","inc hosp","2022-12-11","2022-11-20","DE","00+","seasonal_influenza",6873.815,6851,6865,6873,6882,6901,FALSE
"17","KIT-KEW","inc hosp","2022-12-11","2022-11-27","DE","00+","seasonal_influenza",15033.194,14973,15010,15031,15055,15106,FALSE
"25","KIT-KEW","inc hosp","2022-12-11","2022-12-04","DE","00+","seasonal_influenza",30782.04,30579,30704,30778,30856,31011,FALSE
"33","KIT-KEW","inc hosp","2022-12-11","2022-12-11","DE","00+","seasonal_influenza",48985.065,47161,48305,48921,49576,51064,FALSE
"41","KIT-KEW","inc hosp","2022-12-11","2022-11-13","DE","00-04","seasonal_influenza",596,596,596,596,596,596,FALSE
"49","KIT-KEW","inc hosp","2022-12-11","2022-11-20","DE","00-04","seasonal_influenza",927.485,923,926,927,929,934,FALSE
"57","KIT-KEW","inc hosp","2022-12-11","2022-11-27","DE","00-04","seasonal_influenza",1812.881,1799,1806,1811,1818,1832,FALSE
"65","KIT-KEW","inc hosp","2022-12-11","2022-12-04","DE","00-04","seasonal_influenza",3505.747,3463,3488,3502,3520,3572,FALSE
"73","KIT-KEW","inc hosp","2022-12-11","2022-12-11","DE","00-04","seasonal_influenza",5553.482,5219,5385,5500,5674,6136,FALSE
"81","KIT-KEW","inc hosp","2022-12-11","2022-11-13","DE","05-14","seasonal_influenza",1047,1047,1047,1047,1047,1047,FALSE
"89","KIT-KEW","inc hosp","2022-12-11","2022-11-20","DE","05-14","seasonal_influenza",2380.423,2371,2377,2380,2384,2393,FALSE
"97","KIT-KEW","inc hosp","2022-12-11","2022-11-27","DE","05-14","seasonal_influenza",5292.993,5263,5279,5291,5303,5342,FALSE
"105","KIT-KEW","inc hosp","2022-12-11","2022-12-04","DE","05-14","seasonal_influenza",9968.155,9868,9925,9960,10004,10108,FALSE
"113","KIT-KEW","inc hosp","2022-12-11","2022-12-11","DE","05-14","seasonal_influenza",13557.87,12595,13066,13422,13919,15129,FALSE
"121","KIT-KEW","inc hosp","2022-12-11","2022-11-13","DE","15-34","seasonal_influenza",920,920,920,920,920,920,FALSE
"129","KIT-KEW","inc hosp","2022-12-11","2022-11-20","DE","15-34","seasonal_influenza",1679.161,1672,1676,1679,1682,1689,FALSE
"137","KIT-KEW","inc hosp","2022-12-11","2022-11-27","DE","15-34","seasonal_influenza",3577.171,3555,3568,3576,3585,3606,FALSE
"145","KIT-KEW","inc hosp","2022-12-11","2022-12-04","DE","15-34","seasonal_influenza",7620.515,7551,7592,7619,7645,7702,FALSE
"153","KIT-KEW","inc hosp","2022-12-11","2022-12-11","DE","15-34","seasonal_influenza",13274.393,12639,12968,13207,13497,14266,FALSE
"161","KIT-KEW","inc hosp","2022-12-11","2022-11-13","DE","35-59","seasonal_influenza",755,755,755,755,755,755,FALSE
"169","KIT-KEW","inc hosp","2022-12-11","2022-11-20","DE","35-59","seasonal_influenza",1335.787,1329,1333,1335,1338,1344,FALSE
"177","KIT-KEW","inc hosp","2022-12-11","2022-11-27","DE","35-59","seasonal_influenza",3002.257,2986,2995,3002,3008,3021,FALSE
"185","KIT-KEW","inc hosp","2022-12-11","2022-12-04","DE","35-59","seasonal_influenza",6669.866,6619,6652,6668,6686,6728,FALSE
"193","KIT-KEW","inc hosp","2022-12-11","2022-12-11","DE","35-59","seasonal_influenza",11461.863,11059,11294,11438,11606,11968,FALSE
"201","KIT-KEW","inc hosp","2022-12-11","2022-11-13","DE","60-79","seasonal_influenza",265,265,265,265,265,265,FALSE
"209","KIT-KEW","inc hosp","2022-12-11","2022-11-20","DE","60-79","seasonal_influenza",399.323,396,398,399,400,404,FALSE
"217","KIT-KEW","inc hosp","2022-12-11","2022-11-27","DE","60-79","seasonal_influenza",944,937,941,943,947,953,FALSE
"225","KIT-KEW","inc hosp","2022-12-11","2022-12-04","DE","60-79","seasonal_influenza",2143.584,2124,2136,2143,2151,2166,FALSE
"233","KIT-KEW","inc hosp","2022-12-11","2022-12-11","DE","60-79","seasonal_influenza",4191.557,4048,4130,4187,4245,4389,FALSE
"241","KIT-KEW","inc hosp","2022-12-11","2022-11-13","DE","80+","seasonal_influenza",71,71,71,71,71,71,FALSE
"249","KIT-KEW","inc hosp","2022-12-11","2022-11-20","DE","80+","seasonal_influenza",148.33,147,147,148,149,151,FALSE
"257","KIT-KEW","inc hosp","2022-12-11","2022-11-27","DE","80+","seasonal_influenza",399.566,395,398,399,401,405,FALSE
"265","KIT-KEW","inc hosp","2022-12-11","2022-12-04","DE","80+","seasonal_influenza",870.153,860,866,870,874,882,FALSE
"273","KIT-KEW","inc hosp","2022-12-11","2022-12-11","DE","80+","seasonal_influenza",1820.596,1763,1797,1817,1841,1896,FALSE
"281","KIT-KEW","inc hosp","2022-12-11","2022-11-13","DE-BB","00+","seasonal_influenza",47,47,47,47,47,47,FALSE
"289","KIT-KEW","inc hosp","2022-12-11","2022-11-20","DE-BB","00+","seasonal_influenza",97.627,97,97,97,98,100,FALSE
"297","KIT-KEW","inc hosp","2022-12-11","2022-11-27","DE-BB","00+","seasonal_influenza",380.532,378,379,380,382,386,FALSE
"305","KIT-KEW","inc hosp","2022-12-11","2022-12-04","DE-BB","00+","seasonal_influenza",1199.917,1190,1195,1199,1203,1217,FALSE
