"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2022-07-24","2022-07-24","DE","00-04","seasonal_influenza",32,26,29,32,35,42,FALSE
"9","KIT-simple_nowcast","inc case","2022-07-24","2022-07-17","DE","00-04","seasonal_influenza",23,19,21,23,25,33,FALSE
"17","KIT-simple_nowcast","inc case","2022-07-24","2022-07-10","DE","00-04","seasonal_influenza",25,20,22,24,27,36,FALSE
"25","KIT-simple_nowcast","inc case","2022-07-24","2022-07-03","DE","00-04","seasonal_influenza",40,34,36,39,42,51,FALSE
"33","KIT-simple_nowcast","inc case","2022-07-24","2022-06-26","DE","00-04","seasonal_influenza",51,44,47,50,53,62,FALSE
"41","KIT-simple_nowcast","inc case","2022-07-24","2022-07-24","DE","05-14","seasonal_influenza",32,25,29,31,34,41,FALSE
"49","KIT-simple_nowcast","inc case","2022-07-24","2022-07-17","DE","05-14","seasonal_influenza",40,34,37,40,42,48,FALSE
"57","KIT-simple_nowcast","inc case","2022-07-24","2022-07-10","DE","05-14","seasonal_influenza",53,46,50,53,56,64,FALSE
"65","KIT-simple_nowcast","inc case","2022-07-24","2022-07-03","DE","05-14","seasonal_influenza",68,59,64,67,72,82,FALSE
"73","KIT-simple_nowcast","inc case","2022-07-24","2022-06-26","DE","05-14","seasonal_influenza",137,126,132,136,141,153,FALSE
"81","KIT-simple_nowcast","inc case","2022-07-24","2022-07-24","DE","15-34","seasonal_influenza",121,105,114,120,127,145,FALSE
"89","KIT-simple_nowcast","inc case","2022-07-24","2022-07-17","DE","15-34","seasonal_influenza",128,116,121,126,133,151,FALSE
"97","KIT-simple_nowcast","inc case","2022-07-24","2022-07-10","DE","15-34","seasonal_influenza",105,95,99,104,110,126,FALSE
"105","KIT-simple_nowcast","inc case","2022-07-24","2022-07-03","DE","15-34","seasonal_influenza",164,153,157,162,168,186,FALSE
"113","KIT-simple_nowcast","inc case","2022-07-24","2022-06-26","DE","15-34","seasonal_influenza",254,243,248,252,258,274,FALSE
"121","KIT-simple_nowcast","inc case","2022-07-24","2022-07-24","DE","35-59","seasonal_influenza",37,31,34,36,39,49,FALSE
"129","KIT-simple_nowcast","inc case","2022-07-24","2022-07-17","DE","35-59","seasonal_influenza",38,35,35,37,39,47,FALSE
"137","KIT-simple_nowcast","inc case","2022-07-24","2022-07-10","DE","35-59","seasonal_influenza",37,34,34,36,38,47,FALSE
"145","KIT-simple_nowcast","inc case","2022-07-24","2022-07-03","DE","35-59","seasonal_influenza",67,63,64,66,69,78,FALSE
"153","KIT-simple_nowcast","inc case","2022-07-24","2022-06-26","DE","35-59","seasonal_influenza",67,63,64,66,69,79,FALSE
"161","KIT-simple_nowcast","inc case","2022-07-24","2022-07-24","DE","60-79","seasonal_influenza",11,7,9,10,12,16,FALSE
"169","KIT-simple_nowcast","inc case","2022-07-24","2022-07-17","DE","60-79","seasonal_influenza",16,13,14,16,17,23,FALSE
"177","KIT-simple_nowcast","inc case","2022-07-24","2022-07-10","DE","60-79","seasonal_influenza",19,15,16,18,20,26,FALSE
"185","KIT-simple_nowcast","inc case","2022-07-24","2022-07-03","DE","60-79","seasonal_influenza",25,21,23,24,27,34,FALSE
"193","KIT-simple_nowcast","inc case","2022-07-24","2022-06-26","DE","60-79","seasonal_influenza",51,46,47,49,53,66,FALSE
"201","KIT-simple_nowcast","inc case","2022-07-24","2022-07-24","DE","80+","seasonal_influenza",4,3,3,4,5,8,FALSE
"209","KIT-simple_nowcast","inc case","2022-07-24","2022-07-17","DE","80+","seasonal_influenza",9,8,8,9,10,13,FALSE
"217","KIT-simple_nowcast","inc case","2022-07-24","2022-07-10","DE","80+","seasonal_influenza",7,6,6,6,7,12,FALSE
"225","KIT-simple_nowcast","inc case","2022-07-24","2022-07-03","DE","80+","seasonal_influenza",13,12,12,12,13,21,FALSE
"233","KIT-simple_nowcast","inc case","2022-07-24","2022-06-26","DE","80+","seasonal_influenza",13,12,12,12,14,20,FALSE
"241","KIT-simple_nowcast","inc case","2022-07-24","2022-07-24","DE","00+","seasonal_influenza",240,211,228,238,251,279,FALSE
"249","KIT-simple_nowcast","inc case","2022-07-24","2022-07-17","DE","00+","seasonal_influenza",255,234,245,254,264,288,FALSE
