"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE","00-04","seasonal_influenza",59,40,48,56,67,100,FALSE
"9","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE","00-04","seasonal_influenza",97,80,81,86,102,174,FALSE
"17","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE","00-04","seasonal_influenza",98,81,81,85,101,190,FALSE
"25","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE","00-04","seasonal_influenza",108,91,91,93,106,217,FALSE
"33","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE","00-04","seasonal_influenza",155,139,139,144,159,236,FALSE
"41","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE","05-14","seasonal_influenza",138,105,122,135,151,190,FALSE
"49","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE","05-14","seasonal_influenza",142,116,130,140,152,181,FALSE
"57","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE","05-14","seasonal_influenza",178,148,162,174,190,229,FALSE
"65","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE","05-14","seasonal_influenza",208,177,191,204,221,267,FALSE
"73","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE","05-14","seasonal_influenza",333,305,319,330,344,380,FALSE
"81","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE","15-34","seasonal_influenza",248,209,228,244,263,313,FALSE
"89","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE","15-34","seasonal_influenza",252,223,235,246,263,310,FALSE
"97","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE","15-34","seasonal_influenza",236,208,219,231,247,296,FALSE
"105","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE","15-34","seasonal_influenza",316,289,299,310,327,379,FALSE
"113","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE","15-34","seasonal_influenza",269,243,252,263,280,332,FALSE
"121","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE","35-59","seasonal_influenza",76,60,66,72,82,112,FALSE
"129","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE","35-59","seasonal_influenza",94,84,86,90,98,124,FALSE
"137","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE","35-59","seasonal_influenza",121,112,114,117,125,153,FALSE
"145","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE","35-59","seasonal_influenza",154,145,146,150,157,184,FALSE
"153","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE","35-59","seasonal_influenza",167,159,161,164,171,194,FALSE
"161","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE","60-79","seasonal_influenza",52,43,47,51,56,70,FALSE
"169","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE","60-79","seasonal_influenza",56,52,53,55,58,67,FALSE
"177","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE","60-79","seasonal_influenza",49,45,46,48,50,58,FALSE
"185","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE","60-79","seasonal_influenza",53,50,50,52,54,63,FALSE
"193","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE","60-79","seasonal_influenza",68,66,66,67,69,80,FALSE
"201","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE","80+","seasonal_influenza",16,10,13,15,19,28,FALSE
"209","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE","80+","seasonal_influenza",28,23,25,28,31,39,FALSE
"217","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE","80+","seasonal_influenza",25,19,20,22,27,43,FALSE
"225","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE","80+","seasonal_influenza",25,19,19,21,27,52,FALSE
"233","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE","80+","seasonal_influenza",39,33,34,36,42,63,FALSE
"241","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE","00+","seasonal_influenza",586,467,522,570,633,801,FALSE
"249","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE","00+","seasonal_influenza",665,578,616,651,699,832,FALSE
"257","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE","00+","seasonal_influenza",704,622,660,693,736,852,FALSE
"265","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE","00+","seasonal_influenza",860,787,823,852,889,984,FALSE
"273","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE","00+","seasonal_influenza",1030,967,1000,1024,1054,1126,FALSE
"281","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE-BB","00+","seasonal_influenza",47,27,28,35,52,134,FALSE
"289","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE-BB","00+","seasonal_influenza",63,46,46,47,60,181,FALSE
"297","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE-BB","00+","seasonal_influenza",61,46,46,47,60,163,FALSE
"305","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE-BB","00+","seasonal_influenza",88,74,74,76,89,171,FALSE
"313","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE-BB","00+","seasonal_influenza",98,86,86,88,99,167,FALSE
"321","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE-BE","00+","seasonal_influenza",13,10,11,12,15,23,FALSE
"329","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE-BE","00+","seasonal_influenza",29,26,27,28,30,37,FALSE
"337","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE-BE","00+","seasonal_influenza",36,33,33,35,37,46,FALSE
"345","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE-BE","00+","seasonal_influenza",58,55,55,56,59,70,FALSE
"353","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE-BE","00+","seasonal_influenza",53,50,50,51,53,70,FALSE
"361","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE-BW","00+","seasonal_influenza",33,20,22,28,38,74,FALSE
"369","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE-BW","00+","seasonal_influenza",42,28,28,28,35,150,FALSE
"377","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE-BW","00+","seasonal_influenza",39,24,24,24,31,165,FALSE
"385","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE-BW","00+","seasonal_influenza",29,12,12,12,18,183,FALSE
"393","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE-BW","00+","seasonal_influenza",46,26,26,30,49,160,FALSE
"401","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE-BY","00+","seasonal_influenza",86,71,77,84,92,116,FALSE
"409","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE-BY","00+","seasonal_influenza",81,69,74,79,86,109,FALSE
"417","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE-BY","00+","seasonal_influenza",80,68,72,77,84,104,FALSE
"425","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE-BY","00+","seasonal_influenza",98,87,92,96,102,119,FALSE
"433","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE-BY","00+","seasonal_influenza",135,125,130,134,138,149,FALSE
"441","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE-HB","00+","seasonal_influenza",4,4,4,4,4,6,FALSE
"449","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE-HB","00+","seasonal_influenza",2,2,2,2,2,3,FALSE
"457","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE-HB","00+","seasonal_influenza",5,5,5,5,5,5,FALSE
"465","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE-HB","00+","seasonal_influenza",4,4,4,4,4,4,FALSE
"473","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE-HB","00+","seasonal_influenza",2,2,2,2,2,2,FALSE
"481","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE-HE","00+","seasonal_influenza",14,12,12,12,14,24,FALSE
"489","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE-HE","00+","seasonal_influenza",21,20,20,20,20,28,FALSE
"497","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE-HE","00+","seasonal_influenza",16,16,16,16,16,18,FALSE
"505","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE-HE","00+","seasonal_influenza",16,16,16,16,16,17,FALSE
"513","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE-HE","00+","seasonal_influenza",15,15,15,15,15,15,FALSE
"521","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE-HH","00+","seasonal_influenza",21,14,16,19,24,40,FALSE
"529","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE-HH","00+","seasonal_influenza",29,25,25,27,30,43,FALSE
"537","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE-HH","00+","seasonal_influenza",33,31,31,31,33,42,FALSE
"545","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE-HH","00+","seasonal_influenza",49,49,49,49,49,54,FALSE
"553","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE-HH","00+","seasonal_influenza",36,36,36,36,36,37,FALSE
"561","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE-MV","00+","seasonal_influenza",28,27,27,27,29,34,FALSE
"569","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE-MV","00+","seasonal_influenza",37,37,37,37,37,38,FALSE
"577","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE-MV","00+","seasonal_influenza",59,59,59,59,59,60,FALSE
"585","KIT-simple_nowcast","inc case","2022-06-26","2022-06-05","DE-MV","00+","seasonal_influenza",65,65,65,65,65,65,FALSE
"593","KIT-simple_nowcast","inc case","2022-06-26","2022-05-29","DE-MV","00+","seasonal_influenza",104,104,104,104,104,104,FALSE
"601","KIT-simple_nowcast","inc case","2022-06-26","2022-06-26","DE-NI","00+","seasonal_influenza",43,34,38,41,46,60,FALSE
"609","KIT-simple_nowcast","inc case","2022-06-26","2022-06-19","DE-NI","00+","seasonal_influenza",32,27,27,27,32,66,FALSE
"617","KIT-simple_nowcast","inc case","2022-06-26","2022-06-12","DE-NI","00+","seasonal_influenza",31,26,26,28,33,56,FALSE
