"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE","00-04","seasonal_influenza",19,16,18,19,21,25,FALSE
"9","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE","00-04","seasonal_influenza",11,10,10,11,12,14,FALSE
"17","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE","00-04","seasonal_influenza",5,4,4,5,6,8,FALSE
"25","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE","00-04","seasonal_influenza",16,15,15,16,16,19,FALSE
"33","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE","00-04","seasonal_influenza",26,25,25,25,26,28,FALSE
"41","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE","05-14","seasonal_influenza",23,19,22,23,25,29,FALSE
"49","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE","05-14","seasonal_influenza",24,22,23,24,25,29,FALSE
"57","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE","05-14","seasonal_influenza",26,23,24,25,27,30,FALSE
"65","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE","05-14","seasonal_influenza",13,11,12,13,15,18,FALSE
"73","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE","05-14","seasonal_influenza",25,22,23,24,26,30,FALSE
"81","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE","15-34","seasonal_influenza",140,124,132,139,146,164,FALSE
"89","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE","15-34","seasonal_influenza",112,102,106,110,115,132,FALSE
"97","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE","15-34","seasonal_influenza",117,108,112,115,120,134,FALSE
"105","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE","15-34","seasonal_influenza",101,93,96,99,103,115,FALSE
"113","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE","15-34","seasonal_influenza",110,104,107,109,112,120,FALSE
"121","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE","35-59","seasonal_influenza",30,25,27,29,31,37,FALSE
"129","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE","35-59","seasonal_influenza",20,18,19,20,21,26,FALSE
"137","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE","35-59","seasonal_influenza",16,14,14,16,17,22,FALSE
"145","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE","35-59","seasonal_influenza",33,31,32,33,35,40,FALSE
"153","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE","35-59","seasonal_influenza",36,33,34,35,37,42,FALSE
"161","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE","60-79","seasonal_influenza",16,14,15,16,17,21,FALSE
"169","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE","60-79","seasonal_influenza",13,12,12,12,13,15,FALSE
"177","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE","60-79","seasonal_influenza",12,12,12,12,13,14,FALSE
"185","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE","60-79","seasonal_influenza",12,12,12,12,13,14,FALSE
"193","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE","60-79","seasonal_influenza",8,8,8,8,8,10,FALSE
"201","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE","80+","seasonal_influenza",2,2,2,2,3,4,FALSE
"209","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE","80+","seasonal_influenza",6,6,6,6,6,8,FALSE
"217","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE","80+","seasonal_influenza",5,5,5,5,5,6,FALSE
"225","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE","80+","seasonal_influenza",8,8,8,8,8,9,FALSE
"233","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE","80+","seasonal_influenza",3,3,3,3,3,3,FALSE
"241","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE","00+","seasonal_influenza",231,208,221,229,240,264,FALSE
"249","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE","00+","seasonal_influenza",186,174,180,184,190,205,FALSE
"257","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE","00+","seasonal_influenza",180,169,175,179,185,198,FALSE
"265","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE","00+","seasonal_influenza",184,173,179,183,188,199,FALSE
"273","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE","00+","seasonal_influenza",207,198,203,206,211,221,FALSE
"281","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-BB","00+","seasonal_influenza",13,10,10,11,13,26,FALSE
"289","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-BB","00+","seasonal_influenza",9,8,8,8,9,17,FALSE
"297","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-BB","00+","seasonal_influenza",7,6,6,6,6,12,FALSE
"305","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-BB","00+","seasonal_influenza",8,8,8,8,8,12,FALSE
"313","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-BB","00+","seasonal_influenza",6,6,6,6,6,6,FALSE
"321","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-BE","00+","seasonal_influenza",11,10,10,11,11,14,FALSE
"329","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-BE","00+","seasonal_influenza",9,9,9,9,9,10,FALSE
"337","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-BE","00+","seasonal_influenza",8,8,8,8,8,8,FALSE
"345","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-BE","00+","seasonal_influenza",5,5,5,5,5,5,FALSE
"353","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-BE","00+","seasonal_influenza",10,10,10,10,10,10,FALSE
"361","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-BW","00+","seasonal_influenza",31,27,28,30,33,42,FALSE
"369","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-BW","00+","seasonal_influenza",16,13,13,14,17,27,FALSE
"377","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-BW","00+","seasonal_influenza",15,12,12,13,16,27,FALSE
"385","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-BW","00+","seasonal_influenza",16,12,12,14,17,29,FALSE
"393","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-BW","00+","seasonal_influenza",9,5,5,7,11,23,FALSE
"401","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-BY","00+","seasonal_influenza",32,29,30,31,33,38,FALSE
"409","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-BY","00+","seasonal_influenza",27,26,26,27,28,31,FALSE
"417","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-BY","00+","seasonal_influenza",17,16,16,17,18,20,FALSE
"425","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-BY","00+","seasonal_influenza",25,24,24,25,26,28,FALSE
"433","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-BY","00+","seasonal_influenza",30,29,29,30,31,33,FALSE
"441","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-HB","00+","seasonal_influenza",2,2,2,2,2,2,FALSE
"449","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-HB","00+","seasonal_influenza",0,0,0,0,0,0,FALSE
"457","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-HB","00+","seasonal_influenza",0,0,0,0,0,0,FALSE
"465","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-HB","00+","seasonal_influenza",0,0,0,0,0,0,FALSE
"473","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-HB","00+","seasonal_influenza",2,2,2,2,2,2,FALSE
"481","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-HE","00+","seasonal_influenza",8,6,6,7,9,12,FALSE
"489","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-HE","00+","seasonal_influenza",10,9,9,10,11,15,FALSE
"497","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-HE","00+","seasonal_influenza",7,6,6,6,7,11,FALSE
"505","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-HE","00+","seasonal_influenza",10,9,9,9,10,14,FALSE
"513","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-HE","00+","seasonal_influenza",6,5,5,5,5,10,FALSE
"521","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-HH","00+","seasonal_influenza",25,19,22,24,27,36,FALSE
"529","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-HH","00+","seasonal_influenza",6,5,5,5,6,9,FALSE
"537","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-HH","00+","seasonal_influenza",12,12,12,12,13,15,FALSE
"545","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-HH","00+","seasonal_influenza",7,7,7,7,7,9,FALSE
"553","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-HH","00+","seasonal_influenza",18,18,18,18,18,20,FALSE
"561","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-MV","00+","seasonal_influenza",6,5,5,5,6,10,FALSE
"569","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-MV","00+","seasonal_influenza",3,3,3,3,3,7,FALSE
"577","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-MV","00+","seasonal_influenza",9,8,8,8,8,14,FALSE
"585","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-MV","00+","seasonal_influenza",4,3,3,3,3,11,FALSE
"593","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-MV","00+","seasonal_influenza",9,8,8,8,8,19,FALSE
"601","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-NI","00+","seasonal_influenza",15,11,13,15,17,23,FALSE
"609","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-NI","00+","seasonal_influenza",11,8,9,10,13,21,FALSE
"617","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-NI","00+","seasonal_influenza",27,23,23,25,28,40,FALSE
"625","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-NI","00+","seasonal_influenza",18,15,15,15,18,33,FALSE
"633","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-NI","00+","seasonal_influenza",13,11,11,12,14,23,FALSE
"641","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-NW","00+","seasonal_influenza",28,24,27,28,30,34,FALSE
"649","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-NW","00+","seasonal_influenza",35,32,33,34,36,40,FALSE
"657","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-NW","00+","seasonal_influenza",29,26,27,29,30,36,FALSE
"665","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-NW","00+","seasonal_influenza",28,25,26,27,30,36,FALSE
"673","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-NW","00+","seasonal_influenza",36,33,34,35,38,45,FALSE
"681","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-RP","00+","seasonal_influenza",14,13,13,13,14,16,FALSE
"689","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-RP","00+","seasonal_influenza",17,17,17,17,17,17,FALSE
"697","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-RP","00+","seasonal_influenza",14,14,14,14,14,14,FALSE
"705","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-RP","00+","seasonal_influenza",17,17,17,17,17,17,FALSE
"713","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-RP","00+","seasonal_influenza",24,24,24,24,24,24,FALSE
"721","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-SH","00+","seasonal_influenza",7,5,5,6,8,13,FALSE
"729","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-SH","00+","seasonal_influenza",8,6,6,7,8,14,FALSE
"737","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-SH","00+","seasonal_influenza",9,7,7,8,9,17,FALSE
"745","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-SH","00+","seasonal_influenza",5,3,3,3,5,13,FALSE
"753","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-SH","00+","seasonal_influenza",6,4,4,4,6,16,FALSE
"761","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-SL","00+","seasonal_influenza",1,0,0,1,1,3,FALSE
"769","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-SL","00+","seasonal_influenza",3,2,2,2,3,6,FALSE
"777","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-SL","00+","seasonal_influenza",5,4,4,4,5,8,FALSE
"785","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-SL","00+","seasonal_influenza",5,5,5,5,6,7,FALSE
"793","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-SL","00+","seasonal_influenza",4,4,4,4,4,6,FALSE
"801","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-SN","00+","seasonal_influenza",27,21,24,26,29,35,FALSE
"809","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-SN","00+","seasonal_influenza",23,21,21,22,23,29,FALSE
"817","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-SN","00+","seasonal_influenza",16,15,15,15,17,22,FALSE
"825","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-SN","00+","seasonal_influenza",25,24,24,24,25,31,FALSE
"833","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-SN","00+","seasonal_influenza",20,19,19,19,20,24,FALSE
"841","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-ST","00+","seasonal_influenza",9,8,8,9,10,13,FALSE
"849","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-ST","00+","seasonal_influenza",5,5,5,5,5,5,FALSE
"857","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-ST","00+","seasonal_influenza",5,5,5,5,5,5,FALSE
"865","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-ST","00+","seasonal_influenza",3,3,3,3,3,3,FALSE
"873","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-ST","00+","seasonal_influenza",8,8,8,8,8,8,FALSE
"881","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE-TH","00+","seasonal_influenza",4,4,4,4,4,6,FALSE
"889","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE-TH","00+","seasonal_influenza",6,6,6,6,6,7,FALSE
"897","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE-TH","00+","seasonal_influenza",4,4,4,4,4,4,FALSE
"905","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE-TH","00+","seasonal_influenza",10,10,10,10,10,10,FALSE
"913","KIT-simple_nowcast","inc case","2022-08-21","2022-07-24","DE-TH","00+","seasonal_influenza",8,8,8,8,8,8,FALSE
"921","KIT-simple_nowcast","inc case","2022-08-21","2022-08-21","DE","00-04","rsv_infection",0,0,0,0,0,0,FALSE
"929","KIT-simple_nowcast","inc case","2022-08-21","2022-08-14","DE","00-04","rsv_infection",2,2,2,2,2,2,FALSE
"937","KIT-simple_nowcast","inc case","2022-08-21","2022-08-07","DE","00-04","rsv_infection",0,0,0,0,0,0,FALSE
"945","KIT-simple_nowcast","inc case","2022-08-21","2022-07-31","DE","00-04","rsv_infection",4,4,4,4,4,4,FALSE
