"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2022-08-07","2022-08-07","DE","00-04","seasonal_influenza",5,3,4,5,6,10,FALSE
"9","KIT-simple_nowcast","inc case","2022-08-07","2022-07-31","DE","00-04","seasonal_influenza",17,15,16,17,18,22,FALSE
"17","KIT-simple_nowcast","inc case","2022-08-07","2022-07-24","DE","00-04","seasonal_influenza",27,25,26,27,28,32,FALSE
"25","KIT-simple_nowcast","inc case","2022-08-07","2022-07-17","DE","00-04","seasonal_influenza",21,19,20,21,22,26,FALSE
"33","KIT-simple_nowcast","inc case","2022-08-07","2022-07-10","DE","00-04","seasonal_influenza",22,20,21,22,23,28,FALSE
"41","KIT-simple_nowcast","inc case","2022-08-07","2022-08-07","DE","05-14","seasonal_influenza",25,20,23,25,27,33,FALSE
"49","KIT-simple_nowcast","inc case","2022-08-07","2022-07-31","DE","05-14","seasonal_influenza",16,12,14,15,17,21,FALSE
"57","KIT-simple_nowcast","inc case","2022-08-07","2022-07-24","DE","05-14","seasonal_influenza",27,23,25,27,29,34,FALSE
"65","KIT-simple_nowcast","inc case","2022-08-07","2022-07-17","DE","05-14","seasonal_influenza",38,33,35,37,40,46,FALSE
"73","KIT-simple_nowcast","inc case","2022-08-07","2022-07-10","DE","05-14","seasonal_influenza",50,45,48,50,53,60,FALSE
"81","KIT-simple_nowcast","inc case","2022-08-07","2022-08-07","DE","15-34","seasonal_influenza",123,109,116,122,129,145,FALSE
"89","KIT-simple_nowcast","inc case","2022-08-07","2022-07-31","DE","15-34","seasonal_influenza",104,94,98,102,107,122,FALSE
"97","KIT-simple_nowcast","inc case","2022-08-07","2022-07-24","DE","15-34","seasonal_influenza",111,102,106,110,115,130,FALSE
"105","KIT-simple_nowcast","inc case","2022-08-07","2022-07-17","DE","15-34","seasonal_influenza",124,115,119,122,127,141,FALSE
"113","KIT-simple_nowcast","inc case","2022-08-07","2022-07-10","DE","15-34","seasonal_influenza",102,95,98,101,105,116,FALSE
"121","KIT-simple_nowcast","inc case","2022-08-07","2022-08-07","DE","35-59","seasonal_influenza",17,14,15,17,19,24,FALSE
"129","KIT-simple_nowcast","inc case","2022-08-07","2022-07-31","DE","35-59","seasonal_influenza",32,30,31,32,33,39,FALSE
"137","KIT-simple_nowcast","inc case","2022-08-07","2022-07-24","DE","35-59","seasonal_influenza",34,32,33,34,36,41,FALSE
"145","KIT-simple_nowcast","inc case","2022-08-07","2022-07-17","DE","35-59","seasonal_influenza",38,35,36,37,39,45,FALSE
"153","KIT-simple_nowcast","inc case","2022-08-07","2022-07-10","DE","35-59","seasonal_influenza",37,34,35,36,38,44,FALSE
"161","KIT-simple_nowcast","inc case","2022-08-07","2022-08-07","DE","60-79","seasonal_influenza",12,10,11,12,13,16,FALSE
"169","KIT-simple_nowcast","inc case","2022-08-07","2022-07-31","DE","60-79","seasonal_influenza",13,12,12,13,13,16,FALSE
"177","KIT-simple_nowcast","inc case","2022-08-07","2022-07-24","DE","60-79","seasonal_influenza",9,8,8,9,9,12,FALSE
"185","KIT-simple_nowcast","inc case","2022-08-07","2022-07-17","DE","60-79","seasonal_influenza",15,14,14,15,15,18,FALSE
"193","KIT-simple_nowcast","inc case","2022-08-07","2022-07-10","DE","60-79","seasonal_influenza",16,15,15,15,16,20,FALSE
"201","KIT-simple_nowcast","inc case","2022-08-07","2022-08-07","DE","80+","seasonal_influenza",6,5,5,6,7,9,FALSE
"209","KIT-simple_nowcast","inc case","2022-08-07","2022-07-31","DE","80+","seasonal_influenza",9,8,8,8,9,11,FALSE
"217","KIT-simple_nowcast","inc case","2022-08-07","2022-07-24","DE","80+","seasonal_influenza",3,3,3,3,4,6,FALSE
"225","KIT-simple_nowcast","inc case","2022-08-07","2022-07-17","DE","80+","seasonal_influenza",8,8,8,8,8,11,FALSE
"233","KIT-simple_nowcast","inc case","2022-08-07","2022-07-10","DE","80+","seasonal_influenza",6,6,6,6,6,8,FALSE
"241","KIT-simple_nowcast","inc case","2022-08-07","2022-08-07","DE","00+","seasonal_influenza",192,168,181,190,201,226,FALSE
"249","KIT-simple_nowcast","inc case","2022-08-07","2022-07-31","DE","00+","seasonal_influenza",191,175,183,189,197,216,FALSE
"257","KIT-simple_nowcast","inc case","2022-08-07","2022-07-24","DE","00+","seasonal_influenza",213,198,206,212,219,237,FALSE
"265","KIT-simple_nowcast","inc case","2022-08-07","2022-07-17","DE","00+","seasonal_influenza",244,228,237,243,250,269,FALSE
