"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-epinowcast","inc case","2023-01-22","2023-01-01","DE","00+","seasonal_influenza",22081,22081,22081,22081,22081,22081,FALSE
"2","KIT-epinowcast","inc case","2023-01-22","2023-01-08","DE","00+","seasonal_influenza",14313.615,14294,14304,14311,14320,14347.05,FALSE
"3","KIT-epinowcast","inc case","2023-01-22","2023-01-15","DE","00+","seasonal_influenza",6024.99,5982,6002,6018,6042,6105,FALSE
"4","KIT-epinowcast","inc case","2023-01-22","2023-01-22","DE","00+","seasonal_influenza",2820.574,2666.975,2736,2796,2870.25,3102.075,FALSE
"11","KIT-KEW","inc case","2023-01-22","2022-12-25","DE","00+","seasonal_influenza",52662,52662,52662,52662,52662,52662,FALSE
"9","KIT-KEW","inc case","2023-01-22","2023-01-01","DE","00+","seasonal_influenza",22141.266,22101,22123,22138,22154,22207,FALSE
"17","KIT-KEW","inc case","2023-01-22","2023-01-08","DE","00+","seasonal_influenza",14335.413,14309,14323,14333,14346,14372,FALSE
"25","KIT-KEW","inc case","2023-01-22","2023-01-15","DE","00+","seasonal_influenza",6005.958,5978,5994,6004,6016,6047,FALSE
"33","KIT-KEW","inc case","2023-01-22","2023-01-22","DE","00+","seasonal_influenza",2804.635,2685,2747,2789,2848,3010,FALSE
"41","KIT-KEW","inc case","2023-01-22","2022-12-25","DE","00-04","seasonal_influenza",5655,5655,5655,5655,5655,5655,FALSE
"49","KIT-KEW","inc case","2023-01-22","2023-01-01","DE","00-04","seasonal_influenza",2372.871,2366,2369,2372,2376,2384,FALSE
"57","KIT-KEW","inc case","2023-01-22","2023-01-08","DE","00-04","seasonal_influenza",1379.437,1367,1370,1373,1379,1430,FALSE
"65","KIT-KEW","inc case","2023-01-22","2023-01-15","DE","00-04","seasonal_influenza",634.106,625,628,630,635,664,FALSE
"73","KIT-KEW","inc case","2023-01-22","2023-01-22","DE","00-04","seasonal_influenza",355.057,318,326,336,358,506,FALSE
"81","KIT-KEW","inc case","2023-01-22","2022-12-25","DE","05-14","seasonal_influenza",6824,6824,6824,6824,6824,6824,FALSE
"89","KIT-KEW","inc case","2023-01-22","2023-01-01","DE","05-14","seasonal_influenza",1772.203,1763,1767,1771,1776,1791,FALSE
"97","KIT-KEW","inc case","2023-01-22","2023-01-08","DE","05-14","seasonal_influenza",833.471,822,825,829,834,887,FALSE
"105","KIT-KEW","inc case","2023-01-22","2023-01-15","DE","05-14","seasonal_influenza",437.647,430,433,435,439,457,FALSE
"113","KIT-KEW","inc case","2023-01-22","2023-01-22","DE","05-14","seasonal_influenza",339.153,290,299,310,341,565,FALSE
"121","KIT-KEW","inc case","2023-01-22","2022-12-25","DE","15-34","seasonal_influenza",13718,13718,13718,13718,13718,13718,FALSE
"129","KIT-KEW","inc case","2023-01-22","2023-01-01","DE","15-34","seasonal_influenza",4449.921,4441,4445,4449,4453,4466,FALSE
"137","KIT-KEW","inc case","2023-01-22","2023-01-08","DE","15-34","seasonal_influenza",2891.163,2880,2883,2886,2891,2940,FALSE
"145","KIT-KEW","inc case","2023-01-22","2023-01-15","DE","15-34","seasonal_influenza",1300.731,1293,1295,1298,1302,1326,FALSE
"153","KIT-KEW","inc case","2023-01-22","2023-01-22","DE","15-34","seasonal_influenza",644.972,563,578,597,640,1075,FALSE
"161","KIT-KEW","inc case","2023-01-22","2022-12-25","DE","35-59","seasonal_influenza",13651,13651,13651,13651,13651,13651,FALSE
"169","KIT-KEW","inc case","2023-01-22","2023-01-01","DE","35-59","seasonal_influenza",5105.68,5097,5101,5104,5109,5122,FALSE
"177","KIT-KEW","inc case","2023-01-22","2023-01-08","DE","35-59","seasonal_influenza",3573.005,3560,3563,3567,3573,3629,FALSE
"185","KIT-KEW","inc case","2023-01-22","2023-01-15","DE","35-59","seasonal_influenza",1565.291,1556,1559,1562,1567,1595,FALSE
"193","KIT-KEW","inc case","2023-01-22","2023-01-22","DE","35-59","seasonal_influenza",812.747,716,732,756,807,1264,FALSE
"201","KIT-KEW","inc case","2023-01-22","2022-12-25","DE","60-79","seasonal_influenza",7978,7978,7978,7978,7978,7978,FALSE
"209","KIT-KEW","inc case","2023-01-22","2023-01-01","DE","60-79","seasonal_influenza",4850.627,4843,4846,4849,4853,4866,FALSE
"217","KIT-KEW","inc case","2023-01-22","2023-01-08","DE","60-79","seasonal_influenza",3253.499,3246,3250,3253,3256,3265,FALSE
"225","KIT-KEW","inc case","2023-01-22","2023-01-15","DE","60-79","seasonal_influenza",1198.097,1192,1195,1197,1200,1208,FALSE
"233","KIT-KEW","inc case","2023-01-22","2023-01-22","DE","60-79","seasonal_influenza",452.499,427,438,448,460,508,FALSE
"241","KIT-KEW","inc case","2023-01-22","2022-12-25","DE","80+","seasonal_influenza",4836,4836,4836,4836,4836,4836,FALSE
"249","KIT-KEW","inc case","2023-01-22","2023-01-01","DE","80+","seasonal_influenza",3584.459,3577,3580,3583,3587,3602,FALSE
"257","KIT-KEW","inc case","2023-01-22","2023-01-08","DE","80+","seasonal_influenza",2425.535,2418,2422,2425,2428,2440,FALSE
"265","KIT-KEW","inc case","2023-01-22","2023-01-15","DE","80+","seasonal_influenza",870.505,865,868,870,873,880,FALSE
"273","KIT-KEW","inc case","2023-01-22","2023-01-22","DE","80+","seasonal_influenza",336.421,319,326,333,342,375,FALSE
"281","KIT-KEW","inc case","2023-01-22","2022-12-25","DE-BB","00+","seasonal_influenza",2725,2725,2725,2725,2725,2725,FALSE
"289","KIT-KEW","inc case","2023-01-22","2023-01-01","DE-BB","00+","seasonal_influenza",958.173,956,956,957,959,967,FALSE
"297","KIT-KEW","inc case","2023-01-22","2023-01-08","DE-BB","00+","seasonal_influenza",557.844,555,555,556,558,570,FALSE
"305","KIT-KEW","inc case","2023-01-22","2023-01-15","DE-BB","00+","seasonal_influenza",253.516,251,251,252,254,262,FALSE
"313","KIT-KEW","inc case","2023-01-22","2023-01-22","DE-BB","00+","seasonal_influenza",119.867,107,108,111,117,193,FALSE
"321","KIT-KEW","inc case","2023-01-22","2022-12-25","DE-BE","00+","seasonal_influenza",2006,2006,2006,2006,2006,2006,FALSE
"329","KIT-KEW","inc case","2023-01-22","2023-01-01","DE-BE","00+","seasonal_influenza",1200.076,1199,1199,1199,1201,1204,FALSE
"337","KIT-KEW","inc case","2023-01-22","2023-01-08","DE-BE","00+","seasonal_influenza",558.744,558,558,558,559,562,FALSE
"345","KIT-KEW","inc case","2023-01-22","2023-01-15","DE-BE","00+","seasonal_influenza",282.638,282,282,282,283,285,FALSE
"353","KIT-KEW","inc case","2023-01-22","2023-01-22","DE-BE","00+","seasonal_influenza",103.226,98,98,99,103,132,FALSE
"361","KIT-KEW","inc case","2023-01-22","2022-12-25","DE-BW","00+","seasonal_influenza",5078,5078,5078,5078,5078,5078,FALSE
"369","KIT-KEW","inc case","2023-01-22","2023-01-01","DE-BW","00+","seasonal_influenza",2766.199,2763,2763,2764,2767,2779,FALSE
"377","KIT-KEW","inc case","2023-01-22","2023-01-08","DE-BW","00+","seasonal_influenza",1333.526,1331,1331,1332,1334,1343,FALSE
"385","KIT-KEW","inc case","2023-01-22","2023-01-15","DE-BW","00+","seasonal_influenza",723.414,721,721,723,724,731,FALSE
"393","KIT-KEW","inc case","2023-01-22","2023-01-22","DE-BW","00+","seasonal_influenza",371.755,329,332,340,362,660,FALSE
"401","KIT-KEW","inc case","2023-01-22","2022-12-25","DE-BY","00+","seasonal_influenza",9696,9696,9696,9696,9696,9696,FALSE
"409","KIT-KEW","inc case","2023-01-22","2023-01-01","DE-BY","00+","seasonal_influenza",4412.007,4405,4406,4408,4414,4439,FALSE
"417","KIT-KEW","inc case","2023-01-22","2023-01-08","DE-BY","00+","seasonal_influenza",2580.18,2569,2572,2576,2583,2620,FALSE
"425","KIT-KEW","inc case","2023-01-22","2023-01-15","DE-BY","00+","seasonal_influenza",1399.518,1391,1394,1397,1402,1420,FALSE
"433","KIT-KEW","inc case","2023-01-22","2023-01-22","DE-BY","00+","seasonal_influenza",688.822,681,684,687,691,707,FALSE
"441","KIT-KEW","inc case","2023-01-22","2022-12-25","DE-HB","00+","seasonal_influenza",86,86,86,86,86,86,FALSE
"449","KIT-KEW","inc case","2023-01-22","2023-01-01","DE-HB","00+","seasonal_influenza",105.157,105,105,105,105,106,FALSE
"457","KIT-KEW","inc case","2023-01-22","2023-01-08","DE-HB","00+","seasonal_influenza",65.146,65,65,65,65,66,FALSE
"465","KIT-KEW","inc case","2023-01-22","2023-01-15","DE-HB","00+","seasonal_influenza",12.145,12,12,12,12,13,FALSE
"473","KIT-KEW","inc case","2023-01-22","2023-01-22","DE-HB","00+","seasonal_influenza",5.715,5,5,5,6,9,FALSE
"481","KIT-KEW","inc case","2023-01-22","2022-12-25","DE-HE","00+","seasonal_influenza",2287,2287,2287,2287,2287,2287,FALSE
"489","KIT-KEW","inc case","2023-01-22","2023-01-01","DE-HE","00+","seasonal_influenza",1155.77,1153,1153,1154,1157,1167,FALSE
"497","KIT-KEW","inc case","2023-01-22","2023-01-08","DE-HE","00+","seasonal_influenza",786.678,785,785,786,787,793,FALSE
