"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE","00-04","seasonal_influenza",26,19,22,25,28,35,FALSE
"9","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE","00-04","seasonal_influenza",26,20,22,25,28,38,FALSE
"17","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE","00-04","seasonal_influenza",41,34,35,38,43,62,FALSE
"25","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE","00-04","seasonal_influenza",51,44,45,48,54,76,FALSE
"33","KIT-simple_nowcast","inc case","2022-07-17","2022-06-19","DE","00-04","seasonal_influenza",88,80,82,85,91,110,FALSE
"41","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE","05-14","seasonal_influenza",41,33,38,41,44,52,FALSE
"49","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE","05-14","seasonal_influenza",52,45,48,51,55,63,FALSE
"57","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE","05-14","seasonal_influenza",67,58,63,66,71,83,FALSE
"65","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE","05-14","seasonal_influenza",129,118,123,127,133,148,FALSE
"73","KIT-simple_nowcast","inc case","2022-07-17","2022-06-19","DE","05-14","seasonal_influenza",116,106,111,115,120,134,FALSE
"81","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE","15-34","seasonal_influenza",134,116,125,132,141,164,FALSE
"89","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE","15-34","seasonal_influenza",104,94,98,102,109,127,FALSE
"97","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE","15-34","seasonal_influenza",161,151,155,159,165,185,FALSE
"105","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE","15-34","seasonal_influenza",230,220,223,228,234,254,FALSE
"113","KIT-simple_nowcast","inc case","2022-07-17","2022-06-19","DE","15-34","seasonal_influenza",232,222,225,229,236,255,FALSE
"121","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE","35-59","seasonal_influenza",41,34,37,40,43,53,FALSE
"129","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE","35-59","seasonal_influenza",37,34,35,36,39,46,FALSE
"137","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE","35-59","seasonal_influenza",67,63,64,65,68,78,FALSE
"145","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE","35-59","seasonal_influenza",67,63,64,66,69,78,FALSE
"153","KIT-simple_nowcast","inc case","2022-07-17","2022-06-19","DE","35-59","seasonal_influenza",88,84,85,87,90,100,FALSE
"161","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE","60-79","seasonal_influenza",16,11,14,16,18,23,FALSE
"169","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE","60-79","seasonal_influenza",19,15,17,18,21,27,FALSE
"177","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE","60-79","seasonal_influenza",26,21,23,25,28,37,FALSE
"185","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE","60-79","seasonal_influenza",52,46,48,51,54,65,FALSE
"193","KIT-simple_nowcast","inc case","2022-07-17","2022-06-19","DE","60-79","seasonal_influenza",59,53,54,57,61,77,FALSE
"201","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE","80+","seasonal_influenza",9,7,8,9,11,15,FALSE
"209","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE","80+","seasonal_influenza",8,6,6,7,9,14,FALSE
"217","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE","80+","seasonal_influenza",14,12,12,12,14,26,FALSE
"225","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE","80+","seasonal_influenza",14,12,12,12,14,32,FALSE
"233","KIT-simple_nowcast","inc case","2022-07-17","2022-06-19","DE","80+","seasonal_influenza",26,23,23,23,26,41,FALSE
"241","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE","00+","seasonal_influenza",270,231,251,266,284,329,FALSE
"249","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE","00+","seasonal_influenza",248,217,230,243,260,307,FALSE
"257","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE","00+","seasonal_influenza",379,344,359,373,392,444,FALSE
"265","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE","00+","seasonal_influenza",545,508,525,540,560,614,FALSE
"273","KIT-simple_nowcast","inc case","2022-07-17","2022-06-19","DE","00+","seasonal_influenza",611,574,592,606,625,676,FALSE
"281","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE-BB","00+","seasonal_influenza",20,17,17,18,21,34,FALSE
"289","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE-BB","00+","seasonal_influenza",20,19,19,19,20,26,FALSE
"297","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE-BB","00+","seasonal_influenza",22,22,22,22,22,26,FALSE
"305","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE-BB","00+","seasonal_influenza",34,34,34,34,34,36,FALSE
"313","KIT-simple_nowcast","inc case","2022-07-17","2022-06-19","DE-BB","00+","seasonal_influenza",46,46,46,46,46,46,FALSE
"321","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE-BE","00+","seasonal_influenza",9,8,8,8,9,11,FALSE
"329","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE-BE","00+","seasonal_influenza",7,7,7,7,7,8,FALSE
"337","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE-BE","00+","seasonal_influenza",9,9,9,9,9,10,FALSE
"345","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE-BE","00+","seasonal_influenza",12,12,12,12,12,12,FALSE
"353","KIT-simple_nowcast","inc case","2022-07-17","2022-06-19","DE-BE","00+","seasonal_influenza",26,26,26,26,26,26,FALSE
"361","KIT-simple_nowcast","inc case","2022-07-17","2022-07-17","DE-BW","00+","seasonal_influenza",8,5,5,7,10,21,FALSE
"369","KIT-simple_nowcast","inc case","2022-07-17","2022-07-10","DE-BW","00+","seasonal_influenza",13,9,9,9,11,44,FALSE
"377","KIT-simple_nowcast","inc case","2022-07-17","2022-07-03","DE-BW","00+","seasonal_influenza",24,19,19,19,21,66,FALSE
"385","KIT-simple_nowcast","inc case","2022-07-17","2022-06-26","DE-BW","00+","seasonal_influenza",28,21,21,21,23,86,FALSE
