model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-BB,00+,seasonal_influenza_survstat,2716,2713,2713,2713,2714,2739,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-BB,00+,seasonal_influenza_survstat,3290,3289,3289,3289,3289,3297,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-BB,00+,seasonal_influenza_survstat,2426,2426,2426,2426,2426,2426,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-BE,00+,seasonal_influenza_survstat,588,553,566,580,602,667,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-BE,00+,seasonal_influenza_survstat,1222,1198,1201,1211,1230,1306,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-BE,00+,seasonal_influenza_survstat,2023,2005,2009,2016,2030,2077,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-BE,00+,seasonal_influenza_survstat,2221,2211,2214,2218,2225,2250,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-BE,00+,seasonal_influenza_survstat,1484,1480,1481,1483,1486,1494,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-BW,00+,seasonal_influenza_survstat,1354,1263,1308,1344,1389,1502,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-BW,00+,seasonal_influenza_survstat,2800,2759,2770,2787,2815,2911,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-BW,00+,seasonal_influenza_survstat,5105,5075,5082,5094,5117,5199,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-BW,00+,seasonal_influenza_survstat,5153,5136,5138,5144,5159,5220,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-BW,00+,seasonal_influenza_survstat,3930,3924,3924,3926,3932,3958,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-BY,00+,seasonal_influenza_survstat,2779,2491,2639,2750,2887,3228,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-BY,00+,seasonal_influenza_survstat,4598,4407,4483,4561,4674,4999,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-BY,00+,seasonal_influenza_survstat,9814,9668,9711,9772,9872,10193,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-BY,00+,seasonal_influenza_survstat,10787,10699,10723,10760,10822,11029,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-BY,00+,seasonal_influenza_survstat,9730,9693,9702,9718,9745,9836,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-HB,00+,seasonal_influenza_survstat,72,65,65,65,67,134,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-HB,00+,seasonal_influenza_survstat,104,104,104,104,105,106,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-HB,00+,seasonal_influenza_survstat,85,85,85,85,85,85,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-HB,00+,seasonal_influenza_survstat,53,53,53,53,53,53,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-HB,00+,seasonal_influenza_survstat,40,40,40,40,40,40,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-HE,00+,seasonal_influenza_survstat,876,800,839,869,905,997,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-HE,00+,seasonal_influenza_survstat,1216,1159,1183,1206,1238,1330,FALSE
