"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE","00-04","seasonal_influenza",47,35,41,46,52,66,FALSE
"9","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE","00-04","seasonal_influenza",54,42,47,52,59,78,FALSE
"17","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE","00-04","seasonal_influenza",93,80,82,87,98,141,FALSE
"25","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE","00-04","seasonal_influenza",93,81,81,84,96,158,FALSE
"33","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE","00-04","seasonal_influenza",103,91,92,96,106,149,FALSE
"41","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE","05-14","seasonal_influenza",83,63,74,81,90,111,FALSE
"49","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE","05-14","seasonal_influenza",135,117,127,134,142,160,FALSE
"57","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE","05-14","seasonal_influenza",134,113,124,132,142,167,FALSE
"65","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE","05-14","seasonal_influenza",170,147,158,167,179,210,FALSE
"73","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE","05-14","seasonal_influenza",200,179,190,198,208,233,FALSE
"81","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE","15-34","seasonal_influenza",185,155,170,181,196,234,FALSE
"89","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE","15-34","seasonal_influenza",243,220,229,239,253,293,FALSE
"97","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE","15-34","seasonal_influenza",244,221,230,239,253,294,FALSE
"105","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE","15-34","seasonal_influenza",230,207,215,225,240,284,FALSE
"113","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE","15-34","seasonal_influenza",311,288,295,305,320,368,FALSE
"121","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE","35-59","seasonal_influenza",68,56,61,65,72,93,FALSE
"129","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE","35-59","seasonal_influenza",68,62,63,66,71,86,FALSE
"137","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE","35-59","seasonal_influenza",90,84,85,88,93,110,FALSE
"145","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE","35-59","seasonal_influenza",118,112,113,116,121,139,FALSE
"153","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE","35-59","seasonal_influenza",151,145,146,149,154,171,FALSE
"161","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE","60-79","seasonal_influenza",29,21,25,28,32,43,FALSE
"169","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE","60-79","seasonal_influenza",54,46,50,53,56,67,FALSE
"177","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE","60-79","seasonal_influenza",60,53,56,59,63,74,FALSE
"185","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE","60-79","seasonal_influenza",52,45,48,51,55,67,FALSE
"193","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE","60-79","seasonal_influenza",57,50,51,54,60,83,FALSE
"201","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE","80+","seasonal_influenza",16,12,13,15,17,24,FALSE
"209","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE","80+","seasonal_influenza",15,12,13,14,16,21,FALSE
"217","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE","80+","seasonal_influenza",26,23,23,24,26,36,FALSE
"225","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE","80+","seasonal_influenza",22,19,19,19,22,36,FALSE
"233","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE","80+","seasonal_influenza",22,19,19,20,22,35,FALSE
"241","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE","00+","seasonal_influenza",427,347,387,418,458,560,FALSE
"249","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE","00+","seasonal_influenza",566,505,536,559,590,667,FALSE
"257","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE","00+","seasonal_influenza",645,585,615,638,669,745,FALSE
"265","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE","00+","seasonal_influenza",685,626,656,679,707,780,FALSE
"273","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE","00+","seasonal_influenza",841,788,816,836,861,924,FALSE
"281","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-BB","00+","seasonal_influenza",32,22,23,26,35,77,FALSE
"289","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-BB","00+","seasonal_influenza",43,34,34,35,41,102,FALSE
"297","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-BB","00+","seasonal_influenza",54,46,46,46,53,114,FALSE
"305","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-BB","00+","seasonal_influenza",54,46,46,47,54,101,FALSE
"313","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-BB","00+","seasonal_influenza",81,74,74,75,82,124,FALSE
"321","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-BE","00+","seasonal_influenza",9,8,8,8,9,12,FALSE
"329","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-BE","00+","seasonal_influenza",11,11,11,11,11,13,FALSE
"337","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-BE","00+","seasonal_influenza",26,26,26,26,26,27,FALSE
"345","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-BE","00+","seasonal_influenza",33,33,33,33,33,33,FALSE
"353","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-BE","00+","seasonal_influenza",55,55,55,55,55,55,FALSE
"361","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-BW","00+","seasonal_influenza",26,18,19,22,29,54,FALSE
"369","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-BW","00+","seasonal_influenza",30,21,21,21,25,107,FALSE
"377","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-BW","00+","seasonal_influenza",39,28,28,28,32,130,FALSE
"385","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-BW","00+","seasonal_influenza",36,24,24,24,28,142,FALSE
"393","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-BW","00+","seasonal_influenza",26,12,12,14,26,111,FALSE
"401","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-BY","00+","seasonal_influenza",57,46,51,55,62,79,FALSE
"409","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-BY","00+","seasonal_influenza",85,74,78,83,90,113,FALSE
"417","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-BY","00+","seasonal_influenza",81,69,74,79,86,108,FALSE
"425","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-BY","00+","seasonal_influenza",80,68,73,78,85,104,FALSE
"433","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-BY","00+","seasonal_influenza",99,89,94,98,103,115,FALSE
"441","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-HB","00+","seasonal_influenza",5,5,5,5,5,7,FALSE
"449","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-HB","00+","seasonal_influenza",4,4,4,4,4,5,FALSE
"457","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-HB","00+","seasonal_influenza",2,2,2,2,2,2,FALSE
"465","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-HB","00+","seasonal_influenza",5,5,5,5,5,5,FALSE
"473","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-HB","00+","seasonal_influenza",4,4,4,4,4,4,FALSE
"481","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-HE","00+","seasonal_influenza",12,11,11,11,12,20,FALSE
"489","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-HE","00+","seasonal_influenza",13,12,12,12,12,18,FALSE
"497","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-HE","00+","seasonal_influenza",20,20,20,20,20,22,FALSE
"505","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-HE","00+","seasonal_influenza",16,16,16,16,16,17,FALSE
"513","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-HE","00+","seasonal_influenza",16,16,16,16,16,16,FALSE
"521","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-HH","00+","seasonal_influenza",20,14,16,18,22,33,FALSE
"529","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-HH","00+","seasonal_influenza",19,17,17,18,20,29,FALSE
"537","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-HH","00+","seasonal_influenza",26,25,25,25,26,33,FALSE
"545","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-HH","00+","seasonal_influenza",31,31,31,31,31,34,FALSE
"553","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-HH","00+","seasonal_influenza",49,49,49,49,49,51,FALSE
"561","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-MV","00+","seasonal_influenza",18,17,17,17,19,24,FALSE
"569","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-MV","00+","seasonal_influenza",31,30,30,30,31,33,FALSE
"577","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-MV","00+","seasonal_influenza",37,37,37,37,37,40,FALSE
"585","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-MV","00+","seasonal_influenza",59,59,59,59,59,61,FALSE
"593","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-MV","00+","seasonal_influenza",65,65,65,65,65,67,FALSE
"601","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-NI","00+","seasonal_influenza",27,20,23,26,29,39,FALSE
"609","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-NI","00+","seasonal_influenza",40,35,35,36,41,66,FALSE
"617","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-NI","00+","seasonal_influenza",32,28,28,30,34,49,FALSE
"625","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-NI","00+","seasonal_influenza",30,26,26,27,31,52,FALSE
"633","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-NI","00+","seasonal_influenza",45,41,43,44,47,53,FALSE
"641","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-NW","00+","seasonal_influenza",65,57,61,64,68,79,FALSE
"649","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-NW","00+","seasonal_influenza",98,93,94,97,100,112,FALSE
"657","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-NW","00+","seasonal_influenza",54,50,51,53,56,66,FALSE
"665","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-NW","00+","seasonal_influenza",65,60,61,63,67,78,FALSE
"673","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-NW","00+","seasonal_influenza",80,75,76,78,82,92,FALSE
"681","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-RP","00+","seasonal_influenza",27,25,25,26,28,34,FALSE
"689","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-RP","00+","seasonal_influenza",23,22,22,22,23,30,FALSE
"697","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-RP","00+","seasonal_influenza",32,31,31,31,32,37,FALSE
"705","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-RP","00+","seasonal_influenza",16,16,16,16,16,19,FALSE
"713","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-RP","00+","seasonal_influenza",20,20,20,20,20,22,FALSE
"721","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-SH","00+","seasonal_influenza",10,7,8,9,11,17,FALSE
"729","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-SH","00+","seasonal_influenza",15,12,12,13,16,26,FALSE
"737","KIT-simple_nowcast","inc case","2022-07-03","2022-06-19","DE-SH","00+","seasonal_influenza",29,27,27,28,30,40,FALSE
"745","KIT-simple_nowcast","inc case","2022-07-03","2022-06-12","DE-SH","00+","seasonal_influenza",27,25,25,26,28,36,FALSE
"753","KIT-simple_nowcast","inc case","2022-07-03","2022-06-05","DE-SH","00+","seasonal_influenza",40,38,38,39,40,47,FALSE
"761","KIT-simple_nowcast","inc case","2022-07-03","2022-07-03","DE-SL","00+","seasonal_influenza",3,2,2,2,3,5,FALSE
"769","KIT-simple_nowcast","inc case","2022-07-03","2022-06-26","DE-SL","00+","seasonal_influenza",3,3,3,3,3,5,FALSE
