"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2022-12-25","2022-12-25","DE","00-04","seasonal_influenza",6199,5797,6030,6178,6344,6716,FALSE
"9","KIT-simple_nowcast","inc case","2022-12-25","2022-12-18","DE","00-04","seasonal_influenza",6613,6446,6519,6586,6678,6930,FALSE
"17","KIT-simple_nowcast","inc case","2022-12-25","2022-12-11","DE","00-04","seasonal_influenza",5421,5354,5382,5409,5448,5557,FALSE
"25","KIT-simple_nowcast","inc case","2022-12-25","2022-12-04","DE","00-04","seasonal_influenza",3479,3452,3459,3471,3489,3552,FALSE
"33","KIT-simple_nowcast","inc case","2022-12-25","2022-11-27","DE","00-04","seasonal_influenza",1805,1798,1798,1801,1807,1835,FALSE
"41","KIT-simple_nowcast","inc case","2022-12-25","2022-12-25","DE","05-14","seasonal_influenza",8017,7000,7533,7924,8400,9567,FALSE
"49","KIT-simple_nowcast","inc case","2022-12-25","2022-12-18","DE","05-14","seasonal_influenza",12766,12121,12225,12478,13004,15009,FALSE
"57","KIT-simple_nowcast","inc case","2022-12-25","2022-12-11","DE","05-14","seasonal_influenza",12955,12630,12674,12798,13070,14148,FALSE
"65","KIT-simple_nowcast","inc case","2022-12-25","2022-12-04","DE","05-14","seasonal_influenza",10047,9900,9929,9988,10103,10520,FALSE
"73","KIT-simple_nowcast","inc case","2022-12-25","2022-11-27","DE","05-14","seasonal_influenza",5303,5264,5277,5294,5319,5394,FALSE
"81","KIT-simple_nowcast","inc case","2022-12-25","2022-12-25","DE","15-34","seasonal_influenza",15340,14276,14892,15284,15727,16720,FALSE
"89","KIT-simple_nowcast","inc case","2022-12-25","2022-12-18","DE","15-34","seasonal_influenza",16401,15844,16104,16325,16616,17387,FALSE
"97","KIT-simple_nowcast","inc case","2022-12-25","2022-12-11","DE","15-34","seasonal_influenza",13265,12988,13111,13222,13373,13781,FALSE
"105","KIT-simple_nowcast","inc case","2022-12-25","2022-12-04","DE","15-34","seasonal_influenza",7612,7506,7551,7594,7654,7820,FALSE
"113","KIT-simple_nowcast","inc case","2022-12-25","2022-11-27","DE","15-34","seasonal_influenza",3573,3543,3554,3567,3586,3642,FALSE
"121","KIT-simple_nowcast","inc case","2022-12-25","2022-12-25","DE","35-59","seasonal_influenza",14997,14031,14591,14947,15348,16246,FALSE
"129","KIT-simple_nowcast","inc case","2022-12-25","2022-12-18","DE","35-59","seasonal_influenza",15339,14839,15067,15267,15533,16245,FALSE
"137","KIT-simple_nowcast","inc case","2022-12-25","2022-12-11","DE","35-59","seasonal_influenza",11572,11328,11435,11533,11667,12033,FALSE
"145","KIT-simple_nowcast","inc case","2022-12-25","2022-12-04","DE","35-59","seasonal_influenza",6675,6580,6619,6658,6713,6868,FALSE
"153","KIT-simple_nowcast","inc case","2022-12-25","2022-11-27","DE","35-59","seasonal_influenza",2999,2978,2988,2997,3007,3035,FALSE
"161","KIT-simple_nowcast","inc case","2022-12-25","2022-12-25","DE","60-79","seasonal_influenza",8535,8079,8348,8515,8700,9109,FALSE
"169","KIT-simple_nowcast","inc case","2022-12-25","2022-12-18","DE","60-79","seasonal_influenza",6926,6769,6843,6905,6987,7204,FALSE
"177","KIT-simple_nowcast","inc case","2022-12-25","2022-12-11","DE","60-79","seasonal_influenza",4201,4144,4167,4191,4224,4317,FALSE
"185","KIT-simple_nowcast","inc case","2022-12-25","2022-12-04","DE","60-79","seasonal_influenza",2137,2120,2125,2132,2144,2184,FALSE
"193","KIT-simple_nowcast","inc case","2022-12-25","2022-11-27","DE","60-79","seasonal_influenza",936,932,934,935,938,945,FALSE
"201","KIT-simple_nowcast","inc case","2022-12-25","2022-12-25","DE","80+","seasonal_influenza",5252,4879,5093,5231,5388,5744,FALSE
"209","KIT-simple_nowcast","inc case","2022-12-25","2022-12-18","DE","80+","seasonal_influenza",3669,3534,3588,3643,3722,3948,FALSE
"217","KIT-simple_nowcast","inc case","2022-12-25","2022-12-11","DE","80+","seasonal_influenza",1885,1834,1846,1866,1905,2040,FALSE
"225","KIT-simple_nowcast","inc case","2022-12-25","2022-12-04","DE","80+","seasonal_influenza",878,867,867,871,881,934,FALSE
"233","KIT-simple_nowcast","inc case","2022-12-25","2022-11-27","DE","80+","seasonal_influenza",397,394,394,395,398,412,FALSE
"241","KIT-simple_nowcast","inc case","2022-12-25","2022-12-25","DE","00+","seasonal_influenza",58430,54704,56890,58255,59779,63149,FALSE
"249","KIT-simple_nowcast","inc case","2022-12-25","2022-12-18","DE","00+","seasonal_influenza",61718,59906,60811,61518,62408,64663,FALSE
"257","KIT-simple_nowcast","inc case","2022-12-25","2022-12-11","DE","00+","seasonal_influenza",49288,48416,48832,49176,49624,50792,FALSE
"265","KIT-simple_nowcast","inc case","2022-12-25","2022-12-04","DE","00+","seasonal_influenza",30827,30483,30643,30780,30960,31439,FALSE
"273","KIT-simple_nowcast","inc case","2022-12-25","2022-11-27","DE","00+","seasonal_influenza",15014,14927,14969,15003,15047,15161,FALSE
"281","KIT-simple_nowcast","inc case","2022-12-25","2022-12-25","DE-BB","00+","seasonal_influenza",2940,2648,2731,2853,3056,3719,FALSE
"289","KIT-simple_nowcast","inc case","2022-12-25","2022-12-18","DE-BB","00+","seasonal_influenza",3285,3283,3283,3283,3284,3297,FALSE
"297","KIT-simple_nowcast","inc case","2022-12-25","2022-12-11","DE-BB","00+","seasonal_influenza",2423,2423,2423,2423,2423,2423,FALSE
"305","KIT-simple_nowcast","inc case","2022-12-25","2022-12-04","DE-BB","00+","seasonal_influenza",1186,1186,1186,1186,1186,1186,FALSE
"313","KIT-simple_nowcast","inc case","2022-12-25","2022-11-27","DE-BB","00+","seasonal_influenza",377,377,377,377,377,377,FALSE
"321","KIT-simple_nowcast","inc case","2022-12-25","2022-12-25","DE-BE","00+","seasonal_influenza",2087,2006,2044,2076,2118,2228,FALSE
"329","KIT-simple_nowcast","inc case","2022-12-25","2022-12-18","DE-BE","00+","seasonal_influenza",2240,2210,2218,2231,2252,2324,FALSE
"337","KIT-simple_nowcast","inc case","2022-12-25","2022-12-11","DE-BE","00+","seasonal_influenza",1492,1480,1485,1489,1496,1516,FALSE
"345","KIT-simple_nowcast","inc case","2022-12-25","2022-12-04","DE-BE","00+","seasonal_influenza",796,793,793,794,797,809,FALSE
